FPS,JANK,BigJANK,Max FrameTime(ms),CPU(%),CPU0(%),CPU1(%),CPU2(%),CPU3(%),CPU4(%),CPU5(%),CPU6(%),CPU7(%),CPU0(MHz),CPU1(MHz),CPU2(MHz),CPU3(MHz),CPU4(MHz),CPU5(MHz),CPU6(MHz),CPU7(MHz),CPU(°C),GPU(%),GPU(KHz),Battery(%),Battery(°C),Battery(mA),Battery(volt),bh3
37,1,1,115.53,45.83,51.85,40.74,36.59,42.86,40.48,39.76,43.90,74.70,1500,1500,1500,1500,2450,2450,2450,2850,73.80,5500,46.00,642,65,35.10,2066,3.878
50,0,0,33.02,47.96,58.33,59.18,57.29,55.56,26.00,12.37,50.51,64.95,1900,1900,1900,1900,1500,1500,1500,1700,71.80,6400,99.00,852,65,35.10,2066,3.878
59,1,1,82.52,46.77,57.29,51.58,47.83,47.31,25.74,11.11,51.02,80.81,1700,1700,1700,1700,1300,1300,1300,1500,70.50,6400,93.00,852,65,35.10,1613,3.891
78,0,0,16.52,37.01,48.91,34.78,30.85,27.78,25.25,23.30,45.63,61.62,1200,1200,1200,1200,2400,2400,2400,2650,72.80,5500,99.00,800,65,35.10,1613,3.891
87,1,0,49.51,42.08,48.91,36.84,35.00,37.11,34.00,28.57,52.00,63.44,1400,1400,1400,1400,2400,2400,2400,2650,72.20,5500,92.00,642,65,35.10,1613,3.891
90,0,0,16.54,38.32,45.45,31.58,26.60,28.42,27.66,28.00,49.02,70.10,1600,1600,1600,1600,2200,2200,2200,2400,71.00,5500,94.00,642,65,35.10,1654,3.916
62,0,0,33.01,37.14,43.62,34.31,24.21,23.40,29.00,24.75,42.57,74.76,1200,1200,1200,1200,2300,2300,2300,2550,71.70,6400,99.00,852,65,35.10,1654,3.916
66,0,0,57.77,46.11,56.25,42.55,38.78,37.50,38.61,31.00,52.53,71.13,1800,1800,1800,1800,2450,2450,2450,2850,77.40,6400,99.00,852,65,35.10,1654,3.916
59,0,0,66.02,47.21,56.84,43.16,40.43,45.36,40.40,35.35,47.92,70.00,1600,1600,1600,1600,2400,2400,2400,2650,76.70,6400,99.00,852,65,35.10,2022,3.916
65,0,0,24.76,49.74,57.14,44.21,46.00,43.30,40.21,37.11,52.00,76.00,1100,1100,1100,1100,2450,2450,2450,2850,79.40,6400,99.00,852,65,35.10,2022,3.893
65,0,0,57.76,42.34,50.00,33.33,36.36,34.69,33.68,28.13,51.02,69.39,1400,1400,1400,1400,2450,2450,2450,2850,76.10,6400,96.00,852,65,35.10,2022,3.893
70,0,0,66.00,46.41,55.79,46.74,45.26,46.81,24.74,20.62,57.58,71.72,1800,1800,1800,1800,2450,2450,2450,2850,77.70,6400,98.00,852,65,35.10,2029,3.893
66,0,0,24.76,46.23,57.29,51.46,44.33,46.08,27.27,24.51,53.47,67.33,1400,1400,1400,1400,2450,2450,2450,2850,78.40,6400,99.00,852,65,35.10,2029,3.893
64,0,0,66.01,43.08,48.31,38.71,36.84,39.58,30.85,31.63,51.52,66.33,1250,1250,1250,1250,2450,2450,2450,2850,74.80,6400,99.00,852,65,35.10,2029,3.879
